kd,J,is_secretory_kd,is_neg_ctrl,is_ribo_kd
AAAS,0.020205292850732803,False,False,False
AAMP,0.02097387984395027,False,False,False
AAR2,0.03707162290811539,False,False,False
AARS,0.017727922648191452,False,False,False
AARS2,0.016332658007740974,False,False,False
AASDHPPT,0.01437835767865181,False,False,False
AATF,0.02583640068769455,False,False,False
ABCB10,0.018926287069916725,False,False,False
ABCB7,0.020378567278385162,False,False,False
ABCE1,0.023056380450725555,False,False,False
ABHD11,0.014756247401237488,False,False,False
ABHD17A,0.022478945553302765,False,False,False
ABT1,0.025994911789894104,False,False,False
AC118549.1,0.0195405762642622,False,False,False
ACD,0.008641175925731659,False,False,False
ACSS2,0.014623263850808144,False,False,False
ACTB,0.04875301569700241,False,False,False
ACTL6A,0.013245533220469952,False,False,False
ACTR10,0.01519786100834608,False,False,False
ACTR1B,0.01830914616584778,False,False,False
ACTR2,0.01752573996782303,False,False,False
ACTR5,0.03482581302523613,False,False,False
ACTR6,0.021497465670108795,False,False,False
ACTR8,0.015948113054037094,False,False,False
ADAM10,0.023859903216362,False,False,False
ADAT2,0.016728904098272324,False,False,False
ADNP2,0.012949444353580475,False,False,False
ADRM1,0.02494886703789234,False,False,False
ADSL,0.019521165639162064,False,False,False
AFG3L2,0.017714379355311394,False,False,False
AGBL5,0.027576763182878494,False,False,False
AHCTF1,0.023133553564548492,False,False,False
AHCY,0.021731406450271606,False,False,False
AIFM1,0.013718818314373493,False,False,False
AKIRIN2,0.022648882120847702,False,False,False
ALDOA,0.024140045046806335,False,False,False
ALG1,0.02031942829489708,False,False,False
ALG11,0.023651961237192154,False,False,False
ALG13,0.006732378154993057,False,False,False
ALG14,0.020899785682559013,False,False,False
ALG2,0.0304996557533741,False,False,False
ANAPC1,0.030432483181357384,False,False,False
ANAPC10,0.01840677112340927,False,False,False
ANAPC11,0.019908377900719643,False,False,False
ANAPC13,0.019583772867918015,False,False,False
ANAPC4,0.029488060623407364,False,False,False
ANAPC5,0.027924131602048874,False,False,False
ANKLE2,0.011263920925557613,False,False,False
ANKRD11,0.012758340686559677,False,False,False
ANKRD39,0.021081620827317238,False,False,False
ANKRD49,0.021863043308258057,False,False,False
ANKS6,0.02146860770881176,False,False,False
ANLN,0.010494953021407127,False,False,False
AP2A1,0.030711382627487183,False,False,False
AP2M1,0.015490077435970306,False,False,False
AP2S1,0.023656468838453293,False,False,False
AQR,0.014712163247168064,False,False,False
ARF4,0.007706723641604185,False,False,False
ARFRP1,0.021915648132562637,False,False,False
ARGLU1,0.020729906857013702,False,False,False
ARID3A,0.023402798920869827,False,False,False
ARID5B,0.01911703310906887,False,False,False
ARIH1,0.017982784658670425,False,False,False
ARL2,0.019156385213136673,False,False,False
ARL4D,0.02055365964770317,False,False,False
ARL6IP6,0.019265661016106606,False,False,False
ARMC6,0.01973525434732437,False,False,False
ARMC7,0.016232822090387344,False,False,False
ARPC1B,0.015770206227898598,False,False,False
ARPC4,0.0365840308368206,False,False,False
ASCC3,0.01953369565308094,False,False,False
ASF1B,0.017757151275873184,False,False,False
ATF4,0.0182634424418211,False,False,False
ATF5,0.0,False,False,False
ATIC,0.012173034250736237,False,False,False
ATL2,0.06690160930156708,False,False,False
ATP11B,0.026387784630060196,False,False,False
ATP1A1,0.02053224854171276,False,False,False
ATP2A2,0.030722949653863907,False,False,False
ATP5F1A,0.015085859224200249,False,False,False
ATP5F1B,0.021741414442658424,False,False,False
ATP5F1C,0.014071897603571415,False,False,False
ATP5MD,0.026978226378560066,False,False,False
ATP5ME,0.015416882000863552,False,False,False
ATP5MF,0.02109074965119362,False,False,False
ATP5PD,0.023912908509373665,False,False,False
ATP5PO,0.016807086765766144,False,False,False
ATP6AP1,0.017057253047823906,False,False,False
ATP6AP2,0.021861348301172256,False,False,False
ATP6V0B,0.014227795414626598,False,False,False
ATP6V0C,0.008299043402075768,False,False,False
ATP6V0D1,0.01650548167526722,False,False,False
ATP6V1A,0.012545892968773842,False,False,False
ATP6V1B2,0.012064301408827305,False,False,False
ATP6V1C1,0.009778706356883049,False,False,False
ATP6V1D,0.013816449791193008,False,False,False
ATP6V1E1,0.008033301681280136,False,False,False
ATP6V1F,0.00939518678933382,False,False,False
ATP6V1G1,0.006548510864377022,False,False,False
ATP6V1H,-0.001249509397894144,False,False,False
ATR,0.032819606363773346,False,False,False
ATRIP,0.03421218693256378,False,False,False
ATXN10,0.01889416202902794,False,False,False
AURKA,0.014010479673743248,False,False,False
AURKAIP1,0.04227859899401665,False,False,False
BAG6,0.02720113843679428,False,False,False
BANF1,0.02766009233891964,False,False,False
BANP,0.030172361060976982,False,False,False
BAP1,0.018411803990602493,False,False,False
BARD1,0.02238476276397705,False,False,False
BCAS2,0.017226390540599823,False,False,False
BCL2L1,0.016813850030303,False,False,False
BCLAF1,0.02014504186809063,False,False,False
BCR,0.015678247436881065,False,False,False
BCS1L,0.024611452594399452,False,False,False
BDP1,0.030640533193945885,False,False,False
BET1,0.02062574401497841,False,False,False
