pert_name,cluster
AAAS,2
AAMP,8
AAR2,15
AARS,6
AARS2,4
AASDHPPT,8
AATF,8
ABCB10,14
ABCB7,8
ABCE1,6
ABHD11,8
ABHD17A,2
ABT1,8
AC118549.1,9
ACD,12
ACSS2,7
ACTB,11
ACTL6A,8
ACTR10,1
ACTR1B,1
ACTR2,13
ACTR5,8
ACTR6,1
ACTR8,10
ADAM10,10
ADAT2,11
ADNP2,13
ADRM1,12
ADSL,13
AFG3L2,6
AGBL5,8
AHCTF1,5
AHCY,1
AIFM1,2
AKIRIN2,11
ALDOA,1
ALG1,12
ALG11,15
ALG13,6
ALG14,12
ALG2,15
ANAPC1,8
ANAPC10,8
ANAPC11,15
ANAPC13,13
ANAPC4,15
ANAPC5,15
ANKLE2,15
ANKRD11,6
ANKRD39,11
ANKRD49,12
ANKS6,2
ANLN,13
AP2A1,8
AP2M1,13
AP2S1,15
AQR,6
ARF4,12
ARFRP1,1
ARGLU1,11
ARID3A,8
ARID5B,9
ARIH1,15
ARL2,7
ARL4D,1
ARL6IP6,15
ARMC6,13
ARMC7,7
ARPC1B,11
ARPC4,8
ASCC3,3
ASF1B,2
ATF4,7
ATF5,5
ATIC,11
ATL2,8
ATP11B,8
ATP1A1,13
ATP2A2,15
ATP5F1A,7
ATP5F1B,7
ATP5F1C,5
ATP5MD,8
ATP5ME,7
ATP5MF,4
ATP5PD,6
ATP5PO,3
ATP6AP1,15
ATP6AP2,15
ATP6V0B,15
ATP6V0C,15
ATP6V0D1,13
ATP6V1A,15
ATP6V1B2,15
ATP6V1C1,15
ATP6V1D,6
ATP6V1E1,15
ATP6V1F,15
ATP6V1G1,15
ATP6V1H,15
ATR,15
ATRIP,11
ATXN10,8
AURKA,15
AURKAIP1,8
BAG6,11
BANF1,8
BANP,8
BAP1,8
BARD1,11
BCAS2,5
BCL2L1,12
BCLAF1,11
BCR,13
BCS1L,11
BDP1,6
BET1,8
BMP2K,8
BMS1,8
BNIP1,15
BOD1L1,3
BORA,12
BPTF,15
BRCA1,12
BRCA2,15
BRD2,4
BRD8,14
BRF1,6
BRF2,11
BRIP1,13
BRIX1,8
BRK1,6
BTAF1,1
BTF3,15
BTF3L4,13
BUB1,15
BUB1B,15
BUB3,11
BUD13,5
BUD31,5
BYSL,8
C12orf45,8
C17orf58,1
C18orf21,8
C19orf25,11
C19orf53,8
C1D,8
C1QBP,3
C1orf131,8
C5orf30,8
C7orf26,9
C7orf50,8
C9orf16,2
C9orf78,12
CA5A,11
CABIN1,13
CACTIN,5
CAD,8
CADM4,11
CALR,15
CAMLG,15
CAP1,11
CAPZB,11
CARF,8
CARS,6
CASC3,6
CASP8AP2,15
CAST,7
CBLL1,9
CBX1,12
CCAR1,13
CCDC115,10
CCDC137,8
CCDC174,5
CCDC59,8
CCDC6,1
CCDC84,6
CCDC86,8
CCNB1,13
CCNC,11
CCND3,2
CCNH,8
CCNL1,3
CCNQ,6
CCP110,8
CCT2,8
CCT3,8
CCT4,8
CCT5,8
CCT6A,8
CCT7,8
CCT8,8
CD2BP2,3
CD3EAP,8
CDC123,6
CDC16,15
CDC20,15
CDC23,15
CDC26,15
CDC27,8
CDC42,8
CDC45,11
CDC5L,5
CDC6,8
CDC7,14
CDC73,10
CDCA5,8
CDIPT,1
CDK1,15
CDK12,11
CDK2,13
CDK9,9
CDT1,8
CEBPZ,8
CENPC,8
CENPE,15
CENPH,15
CENPJ,8
CENPK,5
CENPN,15
CENPP,8
CENPT,12
CENPW,15
CEP152,8
CEP192,14
CEP68,8
CEP85,11
CEP97,8
CFL1,11
CHAF1A,15
CHAF1B,15
CHCHD1,3
CHCHD2,3
CHCHD3,13
CHCHD4,6
CHD4,15
CHEK1,8
CHERP,5
CHMP1A,8
CHMP3,15
CHMP4B,12
CHMP5,1
CHMP6,15
CHMP7,5
CHORDC1,2
CHTF18,12
CHTOP,11
CIAO1,15
CIAPIN1,8
CINP,8
CLASRP,3
CLCC1,13
CLK2,13
CLNS1A,5
CLOCK,6
CLP1,11
CLPB,7
CLTC,15
CMC4,4
CMPK1,6
CMTR1,9
CMTR2,3
CNIH4,13
CNN2,12
CNOT1,8
CNOT10,1
CNOT11,3
CNOT2,8
CNOT3,8
CNOT9,15
COA5,7
COASY,8
COG1,12
COG2,15
COG3,15
COG4,12
COG6,13
COMTD1,1
COPE,10
COPS2,8
COPS3,8
COPS4,8
COPS5,8
COPS6,8
COPS8,8
COQ2,2
COQ4,5
COQ5,2
COTL1,8
COX10,7
COX11,15
COX15,11
COX17,6
COX5A,7
COX5B,11
COX6C,13
COX7B,4
COX7C,7
CPNE1,11
CPNE7,11
CPOX,12
CPSF1,14
CPSF3,14
CPSF4,14
CPSF6,8
CRCP,6
CRKL,11
CRLS1,7
CS,13
CSDE1,6
CSE1L,8
CSNK1A1,15
CSNK2B,3
CSTF1,15
CSTF3,14
CTCF,8
CTDP1,10
CTNNBL1,11
CTR9,14
CTU2,6
CUL1,3
CUL2,8
CUL3,1
CUL7,10
