,pearson_r
SMU1,0.8528099148090404
LRPPRC,0.823712181855922
POLRMT,0.8199130849567372
SMG5,0.8056321475410696
ZFC3H1,0.8009816056674989
MTPAP,0.797110086330141
CLOCK,0.7872158655628565
SNRPD1,0.7867630309017565
UPF1,0.7723227019825634
UPF2,0.7664805793162983
EIF3D,0.765705417244479
INTS2,0.7610367875898254
SUPT5H,0.7568073362337384
AQR,0.7563080415027518
RBM25,0.7497807343434988
RBM39,0.7470991208582187
BUD13,0.7459681231364956
DNAJC17,0.7420078065009117
SNRPE,0.7401527000661331
SLU7,0.7392737895937775
SUPT6H,0.7388778924274633
EIF2B4,0.7377551523626256
DDX41,0.7357238686690779
VARS,0.735612843532818
SF3B3,0.7350843037718384
PRPF31,0.7347505232412002
EIF3M,0.731762444051979
EXOSC9,0.7306654496536351
SNRNP200,0.7299411826822249
CSE1L,0.7285076096448774
CDC5L,0.7270140524767276
DARS,0.7241420921625286
ETF1,0.7202995590363289
EIF2B3,0.7202842938713082
ZC3H3,0.7201840416252012
HARS,0.7199225456653706
CWC15,0.7194184944572375
AARS,0.7164896076146727
HSPA9,0.7164413601607739
EIF3A,0.7135867191141039
PHB,0.7130403763873797
SNRPB,0.7075780690858391
RARS,0.7074043500188933
XRCC5,0.707208314252652
SUPT16H,0.7070558081050402
FUNDC2,0.7052899806363688
TIMM23B,0.7045076416271248
EIF2B2,0.7003380163460303
EIF3E,0.6991593065309517
PAM16,0.6988590069692999
EXOSC8,0.6962843352105894
TEFM,0.6950450730260176
RPSA,0.6949956733057157
SNRPD3,0.6944792659019781
TAF8,0.6936416430879018
RPS26,0.6913293642320114
EIF2S1,0.6895780340448943
KIAA0586,0.6866947289569922
NARS,0.6852564477097296
SF3B5,0.6852510709986521
NPLOC4,0.6848081615419822
GBF1,0.6824834855557658
RNF113A,0.6817000016201081
PRPF8,0.6809200847459123
DLD,0.6807247816570572
NUF2,0.680614468870957
FARSB,0.6801133986466442
SNRPG,0.6796444015524981
PRPF4,0.676413042409451
LSM2,0.6760967938478124
PRPF3,0.6733041381063384
PSMC1,0.6720597038787139
RTF1,0.6708468127121097
LSM6,0.6692083821582029
EIF3B,0.6684765349530034
PLRG1,0.6682121646476766
QARS,0.667841222747491
EIF3I,0.6678071520539098
LSM4,0.667786579387412
DHX15,0.6663419399330147
DHX16,0.6660299147825652
EIF2S3,0.6655883518170012
MFAP1,0.6639239858885168
RUVBL1,0.6629634985906214
SSBP1,0.6629334062151921
SMG7,0.6624128560009697
PSMC2,0.6605880478109916
SYMPK,0.6600325905521007
SF3B2,0.6594909298476865
SFPQ,0.6592108570625346
RPS6,0.6590881298159132
SNAPC2,0.6580448224967025
PABPN1,0.6567332983378125
SNRPC,0.6560789622758452
INTS8,0.6552927892817819
INTS9,0.6536837219114419
RPS9,0.6531437122559516
THG1L,0.6531045884254176
TAF1,0.6529529247109505
RPL24,0.6519067017584275
TIMM44,0.6504601744615867
EIF2S2,0.6498118048834614
TARS,0.6478448195012689
SPC25,0.6463847859034741
LSM5,0.6446738944069906
MRPS14,0.6444730641152501
GRPEL1,0.6417382587711009
HSPA5,0.641603424130976
HSPE1,0.6414354547967217
CASC3,0.6411213942608316
MARS,0.6407642043659604
PRPF19,0.6407099892130679
DIS3,0.6399870952247806
WDR25,0.6394534942617277
RPS24,0.6394367520137886
TAF12,0.6390170279008778
EFTUD2,0.6385617941291866
CCNQ,0.6380766450381077
TAF5,0.6376705359736534
NUDT21,0.6374787331829359
PHB2,0.6374124299780526
GINS1,0.6368608154941487
RPL5,0.6363841485239123
CNOT1,0.635171754288678
EIF3G,0.6345876796417514
PRELID3B,0.632828915769436
XRCC6,0.6328144197586876
EXOSC4,0.6326509483550762
MBNL1,0.632440712619623
RPS3A,0.6321507005309598
RPS13,0.6314141084966697
RPS11,0.6311616920108791
KARS,0.6310528490126843
RPL10,0.6300563306985142
RPS27A,0.63000511013036
SPC24,0.6288066712601474
EXOSC3,0.6280207791432753
ICE1,0.6259566805216514
TOMM22,0.6249533287666162
RPL15,0.6237660219635048
RPS7,0.6237111140734355
RPS3,0.6236342318552376
XPO1,0.6233491803103299
RNF20,0.6228728582506085
EIF3H,0.6227705609176587
MED27,0.6216030200575997
INTS4,0.6214521029988181
THOC2,0.6211814206468191
NKAP,0.6210724677395697
SART1,0.6207921834015739
PSMD14,0.6195343932369954
TTK,0.6180944764805746
EIF1AX,0.6179847088821929
SNIP1,0.6178397746479942
NSRP1,0.6177141490295863
KPNB1,0.6171891957741593
RPS23,0.6171257931205749
MED7,0.6169403526770146
IARS,0.6166488345805672
EXOSC5,0.6165151689302395
NUTF2,0.614642136375
NCBP2,0.6126368343458957
RPS5,0.6120688372528729
INTS5,0.6119652693440035
RPS15A,0.610369865485622
EIF2B5,0.6101382724642754
CAST,0.6099219681760639
PMPCA,0.6097483136374376
RPS12,0.6094244794111119
DDX23,0.6091133731613156
TAF10,0.6087553143079907
ABCE1,0.6086415324580234
MED19,0.6062815098011037
POLR2I,0.6051501862703306
RPS8,0.6040680917079067
EHMT2,0.6040493265053843
TICRR,0.6038019966315287
ATF5,0.6033020242685604
MED21,0.6021265407974179
RPL23,0.6012859872552883
RPL27A,0.5999854477986244
EXOSC6,0.5994175515418445
RPS18,0.5988675101409153
SF3B4,0.5979374823601071
RPS20,0.5974162361138826
EXOSC2,0.5970151003203699
BUD31,0.5960033372404198
PSMA3,0.5953447413274966
CARS,0.5952530300659715
RPS27,0.595172435346218
GEMIN5,0.593933608756058
RPL23A,0.593619785445797
SLBP,0.591851623079112
TERF2,0.5901391881088212
LARS,0.5887261603169607
CWF19L2,0.5881895033996957
RPL36,0.5866568942785156
PRIM1,0.5851888520806914
TFAM,0.5850009406163176
CPSF6,0.5841973202828229
WDR5,0.583685447577226
RPL17,0.5836773247674872
ABCB7,0.5835304845491469
MED30,0.5834631899741627
RPL37A,0.5834291934746967
RPLP0,0.5831438542572432
MAX,0.5826027762467585
EIF3J,0.582431400253463
PCNA,0.5816017498992132
RUVBL2,0.581166667994331
FBL,0.5809094485209455
PPWD1,0.5807901808873517
RPS2,0.5807460536418172
MMS22L,0.5800741835345578
GPN3,0.5798093808979441
RPL10A,0.5794673337499667
TAF2,0.5793421155850447
RPL18A,0.5785802338156785
PSMC5,0.5784613270433561
NFYB,0.5780665377514925
RPL27,0.5777764605353551
RPS14,0.5765454067673719
DNAJA3,0.5765386379469642
CNOT2,0.5763934410252675
HNRNPC,0.5749279314803748
UBL5,0.5749238744323943
MYC,0.5744100851728351
HBS1L,0.5743150234549155
CNOT3,0.5733103742857877
HDAC7,0.5714575478263388
LSM7,0.5712574466030887
GTF2A1,0.5709332269473755
RPS19,0.5692986922543843
CHMP3,0.5691769327345275
NUP62,0.5686866025034834
POLR2G,0.567618836193491
EXOSC7,0.567047396787099
TOMM40,0.5660130304060998
PRPF18,0.5656343295233038
TSEN2,0.5654559531522184
CDK1,0.5652670653659077
MCM2,0.5647791486150033
BCAS2,0.5637570652732582
RPL18,0.563213434558492
RACGAP1,0.5627197409963989
AC118549.1,0.5616963005329971
DSN1,0.5609338929213376
SEM1,0.5605418713047754
MAU2,0.5603894908413121
RPL14,0.5598526857321573
RBMX2,0.5595751133664911
DDX6,0.5581678005625739
SCAF1,0.5572690432744589
RPL35A,0.5568752022798316
TSR2,0.5564738619293474
IPO13,0.5564446840023562
THOC3,0.5557677478611422
RPL31,0.5549746407867251
WEE1,0.5546361855659181
HNRNPK,0.5539871230240655
RPL12,0.5538362856027279
PPIE,0.5536061540498687
GPN1,0.5532258293876674
SMC2,0.5520508370072696
GINS4,0.5510867109906652
NUP98,0.550434322678991
SMC1A,0.5491098350245154
CHCHD4,0.5490063885444643
MED17,0.5488225480275077
IARS2,0.548267041656052
CDC73,0.5468996689969451
NCBP1,0.5466363839375972
RPA2,0.5460914509591771
RPL6,0.5459341358082848
DGCR8,0.544291069456859
POLR2B,0.5433106142181369
PSMD13,0.5431608567176551
PPIL4,0.5425272716940392
PSMB3,0.5422020107082001
PMPCB,0.5413251683435047
CHAF1B,0.5408408054045899
SRBD1,0.5403950269187648
SEC13,0.5395508663501223
BDP1,0.5381830237805347
MCM10,0.5368030494278877
FAU,0.5368000713735595
SAMM50,0.536361493136825
MED10,0.534666521221177
SETD1A,0.5344804235492242
RFC3,0.5342463757693913
MED4,0.5335095275496999
DDX18,0.5330198563592008
SRP54,0.5320451184392849
POLE,0.5320113772049158
PNPT1,0.5292894067861483
GUCD1,0.5292518949497961
OGFOD1,0.5289248712670185
EIF1,0.5281875103501845
POLR2H,0.5272622415402022
NCAPH,0.5271813710013267
RPAP2,0.527170265064079
PSMA4,0.526954740187138
UBAP1,0.5269481400341416
LETM1,0.5268960174354861
TIMM10,0.5244652888455887
RPA3,0.5239739808237629
LONP1,0.5238644329567809
GARS,0.523343166768913
GNL2,0.5217023940335944
RPL7,0.5215058027322894
EP400,0.5211963877121373
STRAP,0.5210306298865865
INTS7,0.5208172461591415
DNTTIP2,0.52075571663376
MED6,0.5204950515332398
SMG8,0.5197266090111807
VPS28,0.5191627041370863
SMC3,0.5191249492607815
MED8,0.5190601088883636
RPL4,0.5187588767238478
EIF4G2,0.5178589872337325
CDT1,0.5175062934562265
RPL32,0.5174892865767203
MED11,0.5169137664725899
PRELID1,0.5153116530059164
RPL30,0.5147969517749373
TOP2A,0.5147887311118764
NRDE2,0.5146179409553662
SART3,0.5135793491429603
HARS2,0.5135452157405321
FAM32A,0.5130074036813793
LTV1,0.5129305743121958
GINS2,0.5128100148031575
RPS4X,0.5121480559550156
RPL38,0.5115619445410214
NUP205,0.5110302123478063
PDCD11,0.5108937678075618
ORC1,0.5093541239418731
FNTA,0.5092912822733695
DONSON,0.5086795937712533
CHERP,0.5071560741695219
RNMT,0.5068897103891824
TAF3,0.5067144149033994
SSRP1,0.5066403088778377
NAT10,0.5059286267435763
YTHDC1,0.5058275183998169
U2SURP,0.5049057822850572
PAF1,0.5023945303690864
RPS16,0.5023107917946492
EEF1G,0.5022548911079964
